true,ft,image_path
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314819953_20250629_125802.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313731852_20250630_023042.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S332龙塘路K10+150下行苏庄闸桥西_20250619_173023.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001315456823_20260212_042904.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001318025514_20260124_104336.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S203顺密路K17+400下行木林道班_20250423_023236.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001314158795_20251108_082526.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001314312397_20260210_234358.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/jinggai/camera_11000000001314375767_20260127_134826.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001315959615_20250729_125228.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314907633_20251223_140922.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S203顺密路K32+175建材市场西口 密云方向_20250526_182256.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313053014_20250628_005528.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319753987_20250628_081308.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230058_20250706_143445.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001317193402_20250731_193332.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S201通顺路K22+000上行燕京桥下_20250416_130652.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11011401071328030086_20251109_004039.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001315146877_20251008_212141.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001317655430_20251013_191127.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001319804874_20251008_195452.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001318025514_20260125_111001.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313053014_20250629_011603.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313023975_20250628_033953.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001318987086_20250803_124357.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001317193402_20250731_220338.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11010901071328230002_20260205_094151.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001314706001_20260121_093737.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/X213木邵路K6+700上行龙尹路口西_20250423_120903.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011501071328440096_20250709_105413.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S203顺密路K17+400下行木林道班_20250506_034511.jpg
no,错误,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001319719872_20251015_041016.jpg
yes,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011501071328440035_20250709_195112.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/X038庞安路K2+300京九铁路西_20250502_101751.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001318180501_20250626_085247.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314819953_20250627_194412.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11010701071328230003_20250704_103454.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S227杨雁路K2+300中影基地东_20250421_152008.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313113338_20250627_203659.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001313872319_20250630_175356.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313053014_20250629_125746.jpg
yes,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001319111345_20251015_190716.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/jinggai/camera_11000000001311928570_20260129_111632.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001315959615_20250802_064225.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S203顺密路K32+175建材市场西口 密云方向_20250521_051024.jpg
yes,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11011201071328020049_20251115_095302.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001312652246_20260119_170231.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001315288646_20250816_231454.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001318199767_20250806_141626.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319399586_20250628_162001.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S203顺密路K32+175建材市场西口 密云方向_20250520_150709.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001312966376_20250630_065009.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314317407_20250831_055627.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001317269238_20260216_151126.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11011501071328230008_20251009_050810.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001314317407_20251010_150639.jpg
yes,yes,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11010901071328230035_20260106_165230.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001318025514_20260203_095029.jpg
yes,yes,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001313515334_20251219_144250.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314819953_20250629_221454.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001313872319_20250709_184419.jpg
yes,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001314706001_20250627_134509.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313731852_20250628_223521.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001314375767_20250701_065738.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S204密三路K0+010汽车站路口_20250503_142124.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001315456823_20260224_031731.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S332龙塘路K10+150下行苏庄闸桥西_20250503_160012.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S203顺密路K32+175建材市场西口 密云方向_20250527_122907.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S229通怀路K5+380运河东大街路口东南侧03_20250402_172455.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001311014023_20260124_101134.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001315517071_20260125_073104.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S203顺密路K32+175建材市场西口 密云方向_20250522_064418.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001317193402_20250629_212327.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001317376509_20250709_131354.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313113338_20250630_074043.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001319850899_20251009_134441.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230034_20250803_185542.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001315062231_20251224_033524.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S203顺密路K17+400下行木林道班_20250420_223626.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001311020418_20250731_135431.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319850899_20250807_154619.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S227杨雁路K2+300中影基地东_20250421_160412.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001318025514_20260126_063044.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314706001_20250629_082520.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001311523919_20250629_085149.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319399586_20250629_212346.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001313532291_20260122_200808.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001313670338_20251013_041003.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001316185552_20250627_175742.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319753987_20250628_062331.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001313670338_20251229_145058.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S203顺密路K32+175建材市场西口 密云方向_20250520_180709.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001318828226_20251010_194626.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319753987_20250627_213009.jpg
yes,yes,/HTC/rws/model_tun/data/pic_pack/wajue/S214壁富路K8+900上行机场专线_20250528_154746.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11011101071328140062_20251012_164238.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230058_20250628_155907.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S203顺密路K32+175建材市场西口 密云方向_20250521_182941.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319399586_20250628_000931.jpg
yes,yes,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11010901071328230035_20251111_062151.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001316494428_20251011_133248.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001315959615_20250731_155804.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001315959615_20250803_064920.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/X038庞安路K2+300京九铁路西_20250505_115331.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001318684770_20260124_091104.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001311966810_20250731_143012.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001312966376_20250629_063831.jpg
yes,no,/HTC/rws/model_tun/data/pic_pack/baitan/摆摊2.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001317193402_20250627_231417.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314706001_20250628_185931.jpg
yes,yes,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011501071328440035_20250710_131804.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11011501071328220019_20250822_140438.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319399586_20250628_043320.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S203顺密路K17+400下行木林道班_20250422_165302.jpg
yes,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001313670338_20250922_113106.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S227杨雁路K2+300中影基地东_20250421_143629.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319399586_20250629_101530.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S203顺密路K32+175建材市场西口 密云方向_20250522_060226.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11011201071328120026_20260208_041914.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001316185552_20250628_105531.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314819953_20250629_101617.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/X038庞安路K2+300京九铁路西_20250522_072419.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001319309175_20250708_000033.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001316185552_20250628_204722.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001315959615_20250730_184222.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S203顺密路K17+400下行木林道班_20250416_020332.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11011501071328050162_20251017_142532.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11010801071328230025_20250627_224048.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001314312397_20260129_030408.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001313972190_20260127_144924.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001313109037_20260126_145746.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001315412928_20260103_122305.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313208456_20250930_194118.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001315222990_20260208_050139.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001318180501_20250627_134852.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11011201071318410009_20251111_093740.jpg
yes,yes,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011101071328110008_20251013_103426.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313113338_20250628_033928.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001315959615_20250801_225217.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313731852_20250630_064954.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001312966376_20250628_223531.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319753987_20250630_013803.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001313872319_20250627_174310.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313731852_20250628_100204.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S203顺密路K17+400下行木林道班_20250527_070941.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/X213木邵路K6+700上行龙尹路口西_20250503_135453.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11011401071328030095_20250709_010124.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001313364969_20260124_154956.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328030086_20250701_094913.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319399586_20250629_230418.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328030086_20250701_053659.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001318684770_20260124_093135.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230034_20250702_053614.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001318180501_20250702_160444.jpg
yes,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001315544554_20250728_075636.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230058_20250705_125855.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001314312397_20260209_214724.jpg
yes,yes,/HTC/rws/model_tun/data/pic_pack/wajue/X213木邵路K6+700上行龙尹路口西_20250501_162129.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313053014_20250629_111026.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/gongbiao/X021木燕辅线K3+700马庄检查站 (出京)_20250421_101432.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/X038庞安路K2+300京九铁路西_20250506_082313.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230034_20250628_022223.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001312966376_20250629_235617.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001312966376_20250629_011654.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/X038庞安路K2+300京九铁路西_20250504_190626.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001311966810_20250731_120122.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313731852_20250629_082639.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001318025514_20260125_113133.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001319763933_20260213_161422.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001314634205_20250628_011211.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/wupin/G101京沈线K39+350下行富各庄_20250625_114218.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319399586_20250628_062240.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001317193402_20250628_143233.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001319850899_20251012_042624.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001312966376_20250628_162118.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313023975_20250630_013811.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001311523919_20250702_144236.jpg
yes,yes,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011501071328440035_20250710_035507.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001315959615_20250801_014838.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001318987086_20251011_160055.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319438003_20251117_001849.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001315288646_20250809_012224.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313113338_20250629_203246.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230034_20250812_174415.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S203顺密路K17+400下行木林道班_20250506_180718.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001312206796_20260212_140622.jpg
yes,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/X038庞安路K2+300京九铁路西_20250505_162412.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001313872319_20250710_083431.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001313731852_20250628_081325.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001311523919_20250701_112356.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001317455018_20250709_131759.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S203顺密路K17+400下行木林道班_20250423_012147.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001313872319_20250709_142745.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/wajue/S214壁富路K8+900上行机场专线_20250501_123404.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230058_20250707_133906.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11011201071328120048_20260216_101118.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001313872319_20250627_192917.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S214壁富路K8+900上行机场专线_20250505_174839.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11011501071328020016_20251112_153317.jpg
yes,no,/HTC/rws/model_tun/data/pic_pack/wajue/G101京沈线K39+350下行富各庄_20250415_135215.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001313208456_20251001_175153.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11011501071328020018_20260203_181204.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001315288646_20250709_184125.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11011501071328230056_20250708_060828.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S203顺密路K17+400下行木林道班_20250415_233330.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11000000001311014023_20260124_085032.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001315959615_20250709_104725.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/S203顺密路K17+400下行木林道班_20250423_045446.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11011401071328030087_20251014_142901.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11011101071328110007_20251013_165806.jpg
yes,yes,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001315544554_20250804_054917.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230058_20250707_163458.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001319804874_20250707_142615.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314375767_20250707_165425.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/X038庞安路K2+300京九铁路西_20250502_151448.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/xvangua/camera_11011201071328120048_20260224_080649.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001312966376_20250630_032150.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230058_20250629_123536.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001316185552_20250629_152955.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001317589880_20250801_072816.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11000000001315959615_20250710_002044.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wajue/camera_11000000001318180501_20250703_135602.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011401071328230058_20250709_081245.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/X038庞安路K2+300京九铁路西_20250504_182358.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/gongbiao/S203顺密路K32+175建材市场西口 密云方向_20250521_052425.jpg
no,yes,/HTC/rws/model_tun/data/pic_pack/xuangua/camera_11000000001319061904_20251027_031213.jpg
no,no,/HTC/rws/model_tun/data/pic_pack/wupin/camera_11000000001314819953_20250629_230454.jpg
yes,yes,/HTC/rws/model_tun/data/pic_pack/gongbiao/camera_11011101071328110008_20250709_184541.jpg
